NMS: 33333
CMTS: pl-crw01a-br06
Interfejsy: C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/0, C7/0/1, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7
Data: 27.04.2026, 10:18:06

MAC               IP               Interfejs        Status  dBmV
8cc5.b4ea.71a3    10.219.247.253   C1/0/0/UB        1       0.00
905c.4489.9eb0    10.219.226.213   C1/0/0/UB        1       -1.00
446a.b7f9.f18c    10.236.153.105   C1/0/0/UB        1       1.00
f0f2.49dd.bd20    10.245.31.98     C1/0/0/UB        1       -0.50
b49d.fdc3.b7bf    10.219.254.112   C1/0/0/UB        1       0.00
a0c5.6270.c92c    10.219.248.78    C1/0/0/UB        1       -0.50
e882.5b20.44dd    10.236.141.214   C1/0/0/UB        1       0.00
ac22.05bf.70ba    10.236.147.145   C1/0/0/UB        1       -0.50
5467.51a9.2c31    10.219.231.151   C1/0/0/UB        1       -0.50
c4eb.394f.a3df    10.219.248.171   C1/0/0/UB        1       0.00
acf8.ccac.863e    10.236.138.154   C1/0/0/UB        1       0.00
e882.5b17.f97d    10.236.156.254   C1/0/0/UB        1       0.50
905c.4489.ac60    10.236.150.61    C1/0/0/UB        1       -0.50
b4f2.6723.2932    10.219.227.95    C1/0/0/UB        1       0.00
342c.c4bb.d2cb    10.219.224.161   C1/0/0/UB        1       -0.50
5c7b.5ce4.d8b8    10.236.149.47    C1/0/0/UB        1       0.00
acf8.cca3.b9f5    10.219.232.11    C1/0/0/UB        1       0.00
b0b3.6936.0027    10.236.158.157   C1/0/0/UB        1       0.00
