NMS: 1235321
CMTS: pl-gdn04a-br03
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/3, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7, C8/0/0, C8/0/1, C8/0/2, C8/0/3, C8/0/4, C8/0/5, C8/0/6, C8/0/7, C9/0/0, C9/0/1, C9/0/2, C9/0/3, C9/0/4, C9/0/5, C9/0/6, C9/0/7
Data: 23.04.2026, 16:10:43

MAC               IP               Interfejs        Status  dBmV
64fd.964f.cc32    10.155.206.174   C1/0/0/UB        1       0.00
64fd.964f.5c39    10.155.206.225   C1/0/0/UB        1       0.00
5c7b.5c39.a0ce    10.233.25.177    C1/0/0/UB        1       0.00
5c7b.5c47.d720    10.233.16.18     C1/0/0/UB        1       0.00
5c7b.5c9f.7ef9    10.155.206.195   C1/0/0/UB        1       4.00
5c7b.5ca0.0ee1    10.233.16.67     C1/0/0/UB        1       -0.50
5c7b.5c18.6369    10.233.2.182     C1/0/0/UB        1       0.00
acf8.ccbd.7a3e    10.233.20.170    C1/0/0/UB        1       0.00
24e4.cea5.adf6    10.233.22.197    C1/0/0/UB        1       0.00
e457.40a1.085d    10.155.192.45    C1/0/0/UB        1       0.00
e457.4007.42b6    10.233.0.76      C1/0/0/UB        1       0.00
5c7b.5ce6.467c    10.233.23.196    C1/0/0/UB        1       0.00
3843.7d7e.4813    10.155.194.60    C1/0/0/UB        1       -0.50
3843.7d7b.5707    10.233.21.208    C1/0/0/UB        1       -1.00
e457.4032.d0eb    10.155.199.108   C1/0/0/UB        1       0.00
2cec.f701.04f4    10.233.15.219    C1/0/0/UB        1       0.00
44aa.f5cf.357f    10.233.30.147    C1/0/0/UB        1       0.00
905c.44e5.79b3    10.155.207.242   C1/0/0/UB        1       -0.50
905c.4465.bd22    10.233.26.214    C1/0/0/UB        1       -1.00
24e4.cea6.743b    10.233.28.98     C1/0/0/UB        1       0.00
ac22.05ef.4090    10.155.202.35    C1/0/0/UB        1       0.50
2ca1.7d7b.8de3    10.233.26.189    C1/0/0/UB        1       0.00
6412.69bd.3a58    10.233.20.229    C1/0/0/UB        1       1.00
0036.760a.597f    10.233.26.119    C1/0/0/UB        1       0.00
6412.69bb.bc30    10.233.29.52     C1/0/0/UB        1       -1.00
6412.69eb.1261    10.233.9.40      C1/0/0/UB        1       -1.00
2ca1.7d98.b713    10.155.216.131   C1/0/0/UB        1       0.00
3843.7d7a.c779    10.155.201.181   C1/0/0/UB        1       -0.50
905c.448e.7eb6    10.233.19.117    C1/0/0/UB        1       -0.50
ac22.05ba.7dcd    10.233.5.134     C1/0/0/UB        1       -1.00
2ca1.7d7c.54f3    10.233.9.48      C1/0/0/UB        1       1.00
80c6.abe1.2838    10.233.30.212    C1/0/0/UB        1       0.00
e882.5b89.12c2    10.233.30.78     C1/0/0/UB        1       0.00
342c.c499.d634    10.155.194.158   C1/0/0/UB        1       -2.50
c4eb.3950.0fd3    10.233.3.122     C1/0/0/UB        1       0.00
44aa.f5ce.d6d7    10.233.18.34     C1/0/0/UB        1       0.00
ac22.0569.d805    10.155.206.250   C1/0/0/UB        1       -1.00
2ca1.7d7e.e1db    10.233.15.227    C1/0/0/UB        1       0.00
2ca1.7d86.9e2b    10.155.198.118   C1/0/0/UB        1       0.00
905c.44bf.0b55    10.233.12.125    C1/0/0/UB        1       0.00
3843.7dfd.3959    10.233.14.232    C1/0/0/UB        1       -0.50
3843.7db4.64e8    10.155.202.203   C1/0/0/UB        1       0.50
2c1d.b8a2.9a5e    10.233.19.14     C1/0/0/UB        1       -1.00
2ca1.7d83.5e6b    10.233.27.20     C1/0/0/UB        1       0.00
5467.5134.4f0c    10.155.194.228   C1/0/0/p         1       1.00
342c.c442.8c60    10.155.198.124   C1/0/0/UB        1       -0.50
342c.c4b2.2c36    10.155.197.0     C1/0/0/UB        1       -0.50
24e4.ce54.d753    10.233.12.60     C1/0/0/UB        1       0.00
44aa.f56c.109e    10.233.27.50     C1/0/0/UB        1       0.00
a0c5.626a.e734    10.233.1.128     C1/0/0/UB        1       1.00
3843.7d7e.23b0    10.155.194.159   C1/0/0/UB        1       -0.50
0036.76b4.1d34    10.233.26.36     C1/0/0/UB        1       0.00
0036.76ec.b7c4    10.233.25.1      C1/0/0/UB        1       0.00
3843.7d7a.c9ad    10.233.29.234    C1/0/0/UB        1       0.00
cc35.40e4.21ef    10.233.12.150    C1/0/0/U1        0       0.00
2c1d.b8d6.0039    10.233.20.11     C1/0/0/UB        1       0.00
905c.4461.ccf8    10.233.19.176    C1/0/0/UB        1       -0.50
24e4.cea5.c144    10.233.1.108     C1/0/0/UB        1       0.00
