NMS: 561242
CMTS: pl-waw18a-br02
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7
Data: 24.04.2026, 11:42:03

MAC               IP               Interfejs        Status  dBmV
2ca1.7d86.ffeb    10.161.62.90     C2/0/0/UB        1       0.00
0895.2ad3.af5b    10.204.56.5      C2/0/0/UB        1       !-1.50
24e4.ce37.8083    10.161.48.89     C2/0/0/UB        1       0.00
2ca1.7d9a.8e6b    10.204.62.161    C2/0/0/UB        1       -0.50
e882.5b19.25cd    10.161.50.246    C2/0/0/UB        1       -0.50
2ca1.7d93.daa3    10.161.63.101    C2/0/0/UB        1       !-0.50
b0b3.6978.c2fb    10.204.61.220    C2/0/0/UB        1       0.00
b4f2.6723.44f2    10.204.49.57     C2/0/0/UB        1       -0.50
dc53.7cc2.8c2e    10.204.52.74     C2/0/0/p         1       -0.50
5c7b.5ca0.1175    10.161.41.156    C2/0/0/UB        1       0.00
3843.7d84.05b0    10.204.60.185    C2/0/0/p         1       !-3.00
44aa.f56d.6ac6    10.247.140.208   C2/0/0/UB        1       -0.50
6802.b8cd.c3ce    10.204.54.20     C2/0/0/UB        1       -1.00
ac22.05ba.7fc2    10.204.33.130    C2/0/0/UB        1       -0.50
2ca1.7d93.6443    10.161.33.211    C2/0/0/UB        1       -0.50
905c.4466.2b3e    10.204.33.156    C2/0/0/UB        1       !-0.50
3843.7df9.d12f    10.204.37.77     C2/0/0/UB        1       0.50
2c1d.b8a7.3596    10.161.49.125    C2/0/0/UB        1       0.00
342c.c4a6.ebe6    10.204.44.65     C2/0/0/UB        1       -0.50
e882.5ba5.bf0d    10.161.35.219    C2/0/0/UB        1       -0.50
905c.44be.e317    10.204.63.74     C2/0/0/UB        1       -1.00
342c.c428.768b    10.204.34.51     C2/0/0/UB        1       0.50
2ca1.7d89.f85b    10.161.55.18     C2/0/0/UB        1       -0.50
ac22.0572.7340    10.204.33.59     C2/0/0/UB        1       0.00
5467.511b.8c03    10.204.60.154    C2/0/0/UB        1       !-0.50
3843.7d5b.d0a5    10.204.32.244    C2/0/0/UB        1       -0.50
6412.69bc.c998    10.161.62.91     C2/0/0/UB        1       0.00
b0b3.6936.28ef    10.161.38.79     C2/0/0/UB        1       0.00
a0c5.6276.bce4    10.161.63.88     C2/0/0/UB        1       -0.50
44aa.f56b.059e    10.247.140.194   C2/0/0/UB        1       0.50
3843.7dd0.e783    10.204.37.236    C2/0/0/UB        1       0.00
a0c5.6275.7324    10.161.51.92     C2/0/0/UB        1       -1.00
5c7b.5c21.f215    10.161.35.150    C2/0/0/UB        1       0.00
342c.c47a.c663    10.161.44.196    C2/0/0/UB        1       0.00
e457.4007.438d    10.161.58.137    C2/0/0/UB        1       0.00
5467.518c.291e    10.161.54.58     C2/0/0/UB        1       -0.50
3843.7dd4.342d    10.204.45.235    C2/0/0/UB        1       -0.50
3843.7db2.f0e2    10.204.44.172    C2/0/0/UB        1       0.00
6802.b881.19bf    10.161.44.126    C2/0/0/UB        1       -0.50
342c.c4e2.da92    10.204.50.126    C2/0/0/UB        1       0.00
ac22.05c1.349d    10.204.59.27     C2/0/0/UB        1       -0.50
5467.51cd.83d0    10.204.63.242    C2/0/0/UB        1       0.50
905c.4439.8a2b    10.204.50.156    C2/0/0/UB        1       0.50
a0c5.6270.34dc    10.161.46.99     C2/0/0/UB        1       0.50
5c7b.5cc0.51c9    10.204.58.220    C2/0/0/UB        1       0.00
3843.7dad.5997    10.204.62.159    C2/0/0/UB        1       0.00
e882.5ba2.99c5    10.161.62.231    C2/0/0/UB        1       0.50
5cfa.25a0.06b7    10.204.54.50     C2/0/0/UB        1       0.00
acf8.ccc4.2a50    10.204.40.207    C2/0/0/UB        1       0.00
5c7b.5c17.9fd9    10.161.53.83     C2/0/0/UB        1       0.00
ac22.0544.1037    10.204.32.250    C2/0/0/UB        1       !-1.50
e457.40da.06b4    10.204.41.88     C2/0/0/UB        1       0.00
e882.5ba3.bffd    10.161.41.75     C2/0/0/UB        1       0.50
3843.7da1.a899    10.247.132.120   C2/0/0/UB        1       0.00
3843.7d5c.ad0d    10.204.41.222    C2/0/0/UB        1       -0.50
2ca1.7d86.b23b    10.161.37.132    C2/0/0/UB        1       -0.50
3843.7d20.1471    10.247.133.46    C2/0/0/U3        0       0.00
342c.c499.57dd    10.247.132.79    C2/0/0/UB        1       0.00
3843.7d7a.d025    10.204.49.119    C2/0/0/UB        1       -0.50
44aa.f50e.4b78    10.204.46.223    C2/0/0/UB        1       0.00
5c7b.5c22.ab0d    10.204.56.221    C2/0/0/UB        1       0.00
acf8.cc81.c3b8    10.204.44.62     C2/0/0/UB        1       0.00
e882.5ba6.3875    10.204.49.216    C2/0/0/UB        1       0.50
2ca1.7d96.7603    10.161.36.228    C2/0/0/UB        1       0.00
7076.306e.b386    10.247.134.66    C2/0/0/U1        1       -0.50
e882.5b18.3ced    10.161.56.1      C2/0/0/UB        1       0.00
a0c5.6236.941f    10.161.52.231    C2/0/0/U1        1       0.50
d825.22c0.c8f3    10.247.133.211   C2/0/0/U1        1       0.50
d825.22c0.6f6e    10.247.135.42    C2/0/0/U0        1       -0.50
7085.c6dc.f9dd    10.247.133.107   C2/0/0/U4        1       -0.50
fc6f.b709.3a11    10.204.34.115    C2/0/0/U2        1       0.00
e882.5ba1.dfcd    10.161.54.174    C2/0/0/UB        1       0.50
ac22.059c.ce01    10.204.45.210    C2/0/0/UB        1       0.00
b49d.fdb8.07fa    10.161.58.206    C2/0/0/UB        1       0.00
2ca1.7d7b.72bb    10.161.34.242    C2/0/0/UB        1       -0.50
